Year,Flight,Fatalities
2025,Air India Flight 171 (Ahmedabad),241
2020,Air India Express Flight 1344 (Kozhikode),18
2010,Air India Express Flight 812 (Mangalore),158
2000,Alliance Air Flight 7412 (Patna),60
1996,Charkhi Dadri mid-air collision,349
1993,Indian Airlines Flight 491 (Aurangabad),55
1991,Indian Airlines Flight 257 (Imphal),69
1990,Indian Airlines Flight 605 (Bangalore),92
1988,Indian Airlines Flight 113 (Ahmedabad),133
1978,Air India Flight 855 (Mumbai),213
1973,Indian Airlines Flight 440 (Delhi),48
1966,Air India Flight 101 (Mont Blanc),117
1950,Air India Lockheed Constellation (Ghatkobar),45
